Sample,Site,Hab,HabSeason,order,micro.season,Season,flw_avg,flw_var,dpth_avg,Sand,VryFnGvl,FineGvl,MedGvl,CrsGrvl,VyCrsGvl,SmCble,LgCble,SmBlder,MedBldr,LrgBldr
S19_CHN2,Childs,Run,Run Spring,Run Spring,12,1,0.73,0.01114,65.9,2,0,3,4,11,49,17,8,5,3,0
S19_CHN3,Childs,Run,Run Spring,Run Spring,12,1,0.73,0.01114,65.9,2,0,3,4,11,49,17,8,5,3,0
S19_SBR2,Sheep Bridge,Riffle,Riffle Spring,Riffle Spring,10,1,0.61,0.04951,31.75,2,2,0,0,0,2,16,34,34,10,3
S19_SBR3,Sheep Bridge,Riffle,Riffle Spring,Riffle Spring,10,1,0.61,0.04951,31.75,2,2,0,0,0,2,16,34,34,10,3
S19_SBR4,Sheep Bridge,Riffle,Riffle Spring,Riffle Spring,10,1,0.61,0.04951,31.75,2,2,0,0,0,2,16,34,34,10,3
S19_SBP1,Sheep Bridge,Pool,Pool Spring,Pool Spring,11,1,0.02,0.00014,86.05,78,2,2,2,1,2,6,1,5,1,1
S19_SBP2,Sheep Bridge,Pool,Pool Spring,Pool Spring,11,1,0.02,0.00014,86.05,78,2,2,2,1,2,6,1,5,1,1
S19_SBP5,Sheep Bridge,Pool,Pool Spring,Pool Spring,11,1,0.02,0.00014,86.05,78,2,2,2,1,2,6,1,5,1,1
S19_SBN2,Sheep Bridge,Run,Run Spring,Run Spring,12,1,0.47,0.00537,62.35,17,4,1,1,1,6,14,28,24,6,1
S19_SBN3,Sheep Bridge,Run,Run Spring,Run Spring,12,1,0.47,0.00537,62.35,17,4,1,1,1,6,14,28,24,6,1
S19_SBN5,Sheep Bridge,Run,Run Spring,Run Spring,12,1,0.47,0.00537,62.35,17,4,1,1,1,6,14,28,24,6,1
F19_TCR1,Tangle,Riffle,Riffle Fall,Tangle Riffle,13,0,0.1,0,3.55,30,21,3,5,16,23,10,0,1,0,0
F19_TCR2,Tangle,Riffle,Riffle Fall,Tangle Riffle,13,0,0.1,0,3.55,30,21,3,5,16,23,10,0,1,0,0
